Acme Corp,5000000,Tech,True,False
Beta Inc,20000000,Finance,True,True
Gamma LLC,12000000,Health,False,True
Delta Ltd,4000000,Retail,True,False
Epsilon GmbH,25000000,Tech,False,True
Omicron Co,3000000,Other,True,True
Zeta Ventures,18000000,Finance,False,False
Kappa Tech,15000000,Tech,True,True
Lambda Health,10000000,Health,True,False
Sigma Retailers,8000000,Retail,False,True
NextGen Retail Group,27537066,Biotechnology,False,True
Apex Smart Holdings,515283,Real Estate,False,False
Dynamic Data Dynamics,21646584,Media,True,True
Innovative Health Holdings,263109,Aerospace,False,False
Global Tech Ltd,948739,Automotive,True,True
Elite Health Solutions,39644367,Health,True,True
NextGen Data Enterprises,4613293,Health,True,True
Elite Smart Dynamics,16617903,Services,True,False
Dynamic Smart Holdings,91107338,Retail,True,False
Unified Health Co,76573666,Tourism,True,False
Prime Capital Inc,55863800,Fashion,False,True
Elite Retail Partners,67567126,Education,True,True
Unified Capital Group,803193,Biotechnology,False,True
Synergy Health Solutions,4366689,Telecommunications,True,True
Elite Capital Group,39341051,Telecommunications,False,True
Dynamic Capital GmbH,66823501,Tourism,False,True
Unified Tech Dynamics,37940730,Automotive,False,True
NextGen Health Systems,65209453,Tourism,False,True
Synergy Capital GmbH,85966154,Tourism,False,False
NextGen Health Corp,96646615,Media,False,False
Synergy Tech Ltd,586126,Logistics,True,False
Elite Tech Ventures,98318212,Construction,False,True
Synergy Smart Holdings,16652738,Retail,False,False
Dynamic Retail LLC,75561313,Services,False,True
Unified Data Group,41736148,Food & Beverage,True,True
Prime Data Solutions,871795,Fashion,True,True
Bright Health GmbH,43253037,Health,False,True
Dynamic Retail GmbH,78356556,Manufacturing,True,True
Bright Retail Systems,84780076,Telecommunications,True,True
Unified Data Holdings,82660468,Aerospace,True,True
Apex Smart GmbH,824069,Fashion,False,False
Dynamic Smart LLC,13096138,Tech,False,False
Bright Data Solutions,20872926,Construction,True,False
Synergy Retail Group,4738491,Education,True,True
Synergy Retail Enterprises,90612936,Logistics,True,True
Prime Tech Systems,726128,Media,False,False
Synergy Tech Group,76258637,Services,False,False
Dynamic Retail Innovations,856912,Biotechnology,True,True
Dynamic Smart Dynamics,567807,Automotive,False,True
Apex Retail Inc,53555535,Real Estate,False,False
Bright Retail Innovations,114808,Tech,False,True
Bright Health Innovations,32457313,Services,False,False
Bright Tech Ltd,98569158,Services,False,True
Global Tech Corp,231292,Health,False,False
Synergy Smart GmbH,47243471,Tourism,True,False
Unified Retail Solutions,16049919,Services,True,True
Bright Health Ventures,166440,Real Estate,False,False
Bright Capital Corp,60321407,Manufacturing,True,True
Synergy Tech Systems,472736,Services,False,False
Unified Health Innovations,50802086,Education,True,True
Dynamic Retail Group,908152,Energy,False,False
Unified Health Ventures,119828,Food & Beverage,True,False
Apex Data Enterprises,110383,Media,True,False
Dynamic Health Inc,88772456,Health,True,False
Synergy Capital Holdings,873574,Media,False,False
Dynamic Health Ventures,110033,Food & Beverage,False,False
Innovative Tech Dynamics,83362524,Energy,True,True
Elite Smart Ltd,31945141,Tourism,False,False
Elite Retail Co,120478,Manufacturing,False,False
NextGen Health LLC,287695,Construction,True,False
Unified Retail Inc,45080017,Telecommunications,False,False
Synergy Tech Corp,28100309,Media,False,True
NextGen Retail Group,86842135,Biotechnology,False,False
Apex Health Enterprises,371332,Tourism,False,True
Prime Smart Dynamics,66247217,Media,True,True
Prime Health Solutions,15761030,Retail,True,True
Unified Smart GmbH,70885554,Construction,True,True
Elite Tech Ltd,219113,Education,True,True
Innovative Retail Innovations,509170,Automotive,True,True
Synergy Capital GmbH,288766,Fashion,True,True
Elite Data Partners,773422,Media,True,False
NextGen Capital Systems,526116,Agriculture,False,False
NextGen Retail Ventures,22622674,Real Estate,True,False
Dynamic Retail LLC,997197,Construction,True,False
Elite Smart Corp,293272,Automotive,False,False
Synergy Tech Corp,29388730,Real Estate,False,False
Prime Capital Inc,52792253,Logistics,True,True
Unified Tech Corp,16574008,Finance,False,False
Dynamic Health Holdings,37469089,Fashion,True,False
Innovative Smart Innovations,27970490,Telecommunications,False,True
Synergy Data Solutions,74575509,Energy,True,False
Apex Smart Ltd,70023773,Media,True,False
Innovative Data Corp,6828481,Aerospace,True,False
Innovative Health Corp,573780,Fashion,False,True
Global Tech Group,396296,Food & Beverage,False,False
NextGen Health Holdings,4426691,Education,False,True
Apex Capital Ltd,963771,Telecommunications,True,True
Dynamic Data Innovations,84853314,Tourism,False,False
Elite Smart Ventures,628551,Biotechnology,True,True
Dynamic Retail Enterprises,6003528,Health,False,True
